,Unnamed: 0,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2905,2905,680,Germany,Male,32,7,175454.0,1,0,1,77349.92,0
9450,9450,666,Germany,Male,33,2,124125.26,1,1,0,81884.8,0
1385,1385,716,France,Female,35,8,112808.18,1,0,1,17848.3,0
4558,4558,792,France,Male,34,1,0.0,1,0,1,86330.32,0
5129,5129,588,Germany,Female,42,2,164307.77,1,1,0,48498.19,0
4781,4781,850,Spain,Female,53,7,65407.16,2,0,0,182633.63,1
9568,9568,593,France,Male,33,1,0.0,2,0,0,9984.4,0
5006,5006,755,Germany,Female,37,0,113865.23,2,1,1,117396.25,0
1048,1048,812,Germany,Male,25,5,54817.55,1,1,0,131660.31,0
2746,2746,620,France,Male,36,8,0.0,2,1,1,145937.99,0
2968,2968,696,Spain,Female,36,7,0.0,2,1,1,82298.59,0
7592,7592,674,Germany,Male,44,3,88902.21,1,1,0,73731.32,0
5634,5634,754,France,Female,38,2,0.0,2,0,0,3524.69,0
4921,4921,526,Spain,Female,33,8,114634.63,2,1,0,110114.38,1
4690,4690,497,Germany,Male,24,6,111769.14,2,1,0,55859.27,0
926,926,738,Spain,Male,35,3,0.0,1,1,1,15650.73,0
113,113,675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0
5377,5377,642,France,Male,72,1,160541.0,2,1,1,142223.94,0
4447,4447,666,Germany,Female,50,7,109062.28,1,1,1,140136.1,1
2869,2869,524,France,Male,22,9,0.0,2,1,0,74405.34,0
309,309,438,Germany,Male,31,8,78398.69,1,1,0,44937.01,0
1113,1113,731,Germany,Female,21,8,132312.06,1,1,0,106663.46,1
2160,2160,727,France,Male,28,5,0.0,2,0,1,19653.08,0
2038,2038,621,France,Male,47,0,0.0,1,1,1,133831.37,1
8672,8672,706,France,Male,38,1,0.0,2,1,0,122379.54,0
405,405,718,France,Male,36,9,0.0,1,1,0,45909.87,0
7946,7946,473,France,Female,35,6,69617.36,1,1,0,143345.69,0
1294,1294,824,France,Male,30,0,133634.02,1,1,1,162053.92,0
3249,3249,734,France,Male,37,3,80387.81,1,0,1,77272.62,0
5556,5556,606,France,Male,40,6,119501.88,2,1,0,46774.94,0
2312,2312,545,France,Female,55,5,0.0,1,0,0,10034.77,1
529,529,673,France,Male,30,1,64097.75,1,1,1,77783.35,0
5800,5800,599,France,Male,30,9,105443.68,1,1,1,121124.53,0
538,538,564,Germany,Female,62,5,114931.35,3,0,1,18260.98,1
6593,6593,655,Germany,Female,30,1,83173.98,2,1,1,184259.6,0
6083,6083,519,Germany,Male,38,1,114141.64,1,1,1,60988.21,1
3981,3981,638,France,Male,24,1,0.0,2,0,1,162597.15,0
5717,5717,665,France,Female,37,5,160389.82,1,0,1,183542.08,0
4554,4554,592,France,Male,39,7,0.0,2,1,0,83084.33,0
3124,3124,760,France,Male,39,6,178585.46,1,1,0,67131.3,1
7173,7173,744,Spain,Female,30,1,124037.28,1,1,1,142210.94,0
6621,6621,646,France,Male,50,0,104129.24,2,1,0,181794.86,1
5618,5618,656,France,Male,38,10,0.0,1,1,1,136521.82,0
9359,9359,645,Germany,Male,43,9,140121.17,1,1,0,11302.7,1
2898,2898,696,France,Male,52,6,139781.06,1,1,0,27445.4,1
2054,2054,747,France,Male,41,5,0.0,2,1,1,22750.17,0
6974,6974,662,France,Male,44,8,0.0,2,1,1,175314.87,0
5539,5539,614,Spain,Male,39,3,151914.93,1,0,0,56459.45,0
8771,8771,681,Germany,Male,31,4,97338.19,2,0,0,48226.76,0
3650,3650,537,France,Male,38,3,0.0,2,0,0,141023.01,0
6533,6533,489,France,Female,47,8,103894.38,2,1,1,107625.46,0
3407,3407,632,France,Male,40,3,193354.86,2,1,0,149188.41,0
6748,6748,756,France,Male,31,10,122647.32,1,0,0,61666.87,0
8027,8027,684,Spain,Male,39,4,207034.96,2,0,0,157694.76,1
8214,8214,836,Germany,Female,32,4,109196.67,2,1,0,55218.02,0
9323,9323,644,France,Male,50,9,76817.0,4,1,0,196371.13,1
6105,6105,617,France,Female,34,0,131244.65,2,1,0,183229.02,0
3041,3041,671,France,Male,34,7,106603.74,2,1,1,26387.71,0
1737,1737,769,Spain,Male,39,9,0.0,1,1,1,47722.79,0
4033,4033,632,Germany,Male,48,6,126066.26,1,1,0,64345.61,1
6220,6220,807,France,Male,33,10,101952.97,2,1,0,178153.65,0
8307,8307,618,France,Male,30,3,133844.22,1,1,1,31406.93,0
4661,4661,780,France,Female,43,0,0.0,1,0,1,15705.27,0
3976,3976,566,Germany,Male,22,7,144954.75,2,1,0,102246.0,0
2545,2545,686,France,Female,43,0,0.0,1,1,1,170072.9,0
3855,3855,708,Germany,Male,32,3,151691.44,2,1,1,172810.51,0
2635,2635,592,France,Female,27,4,0.0,2,1,1,183569.25,0
1767,1767,814,France,Female,48,7,0.0,2,1,1,132870.15,0
6384,6384,529,France,Female,31,7,0.0,2,1,1,175697.87,0
1850,1850,785,Germany,Female,33,5,136624.6,2,1,1,169117.74,0
8484,8484,802,France,Female,60,3,92887.06,1,1,0,39473.63,1
5544,5544,507,France,Male,42,6,0.0,2,1,0,34777.23,0
9398,9398,488,France,Female,34,2,0.0,2,1,1,181270.84,0
2064,2064,765,France,Male,44,6,0.0,2,1,1,159899.97,0
3142,3142,697,France,Female,76,7,0.0,2,0,1,188772.45,0
9596,9596,531,France,Male,37,7,121854.45,1,1,0,147521.35,0
1408,1408,707,France,Male,32,9,0.0,2,0,0,30807.02,0
8371,8371,813,Germany,Female,29,5,106059.4,1,0,0,187976.88,1
8280,8280,706,Spain,Male,53,7,0.0,2,0,1,117939.17,0
9024,9024,640,France,Female,47,6,89799.46,2,0,1,13783.77,1
919,919,552,Spain,Male,45,9,0.0,2,1,0,26752.56,0
999,999,759,France,Female,38,1,104091.29,1,0,0,91561.91,0
3791,3791,705,France,Female,38,3,123894.43,1,1,0,21177.1,0
5109,5109,710,Spain,Female,28,6,0.0,1,1,0,48426.98,0
2699,2699,633,Germany,Female,29,8,104944.1,1,1,1,97684.46,0
4549,4549,537,France,Male,59,9,0.0,2,0,0,103799.77,1
267,267,651,France,Male,36,7,0.0,2,1,0,13898.31,0
2049,2049,720,France,Female,45,1,102882.4,2,1,1,35633.15,1
6815,6815,606,Spain,Male,36,0,94153.56,1,0,1,120138.27,0
3912,3912,581,Spain,Male,46,2,79385.21,2,0,0,188492.82,0
8082,8082,772,Spain,Male,36,3,112029.83,1,1,1,186948.35,0
1694,1694,541,France,Male,37,9,118636.92,1,1,1,73551.44,0
4502,4502,698,Spain,Male,45,5,164450.94,1,1,0,141970.02,1
2607,2607,814,France,Male,31,1,118870.92,1,1,0,101704.19,0
3113,3113,620,France,Male,32,7,0.0,2,1,1,34665.79,0
8409,8409,749,Spain,Male,38,9,129378.32,1,1,1,13549.34,0
9560,9560,686,France,Male,41,5,128876.71,3,1,1,106939.34,1
3598,3598,720,Germany,Female,37,8,156282.79,1,1,0,45985.52,0
9021,9021,655,Germany,Female,61,2,183997.7,2,1,1,161217.18,0
6444,6444,693,Germany,Female,37,6,95900.04,1,1,1,38196.24,0
6120,6120,715,France,Male,40,7,0.0,1,1,1,141359.11,0
3834,3834,734,Spain,Female,39,6,92126.26,2,0,0,112973.34,0
8010,8010,467,Germany,Male,51,10,114514.71,2,1,0,177784.68,1
6762,6762,639,France,Male,37,5,98186.7,1,0,1,173386.95,0
6823,6823,581,Spain,Female,24,10,159203.71,1,1,1,102517.83,1
9317,9317,741,France,Male,42,6,106036.52,1,1,0,194686.78,1
5956,5956,798,Germany,Female,38,4,129055.13,1,1,0,157147.59,0
9264,9264,414,Spain,Male,60,3,0.0,2,1,1,93844.82,0
1245,1245,626,France,Female,44,10,81553.93,1,1,0,20063.63,1
4851,4851,530,France,Female,48,0,0.0,1,1,0,85081.09,0
5886,5886,607,Germany,Male,40,5,90594.55,1,0,1,181598.25,0
2078,2078,640,France,Male,63,2,68432.45,2,1,1,112503.24,1
9552,9552,664,France,Female,41,5,0.0,1,1,1,152054.33,0
2133,2133,688,France,Female,32,6,123157.95,1,1,0,172531.23,0
4560,4560,624,Spain,Female,36,0,0.0,2,1,0,111605.9,0
5931,5931,656,Germany,Female,46,7,141535.52,1,1,0,50595.15,1
478,478,569,France,Male,38,7,0.0,1,1,1,108469.2,0
8590,8590,771,France,Female,41,10,108309.0,4,1,1,137510.41,1
8453,8453,567,France,Female,41,9,137891.35,1,1,0,142009.46,1
4909,4909,596,Spain,Female,29,6,0.0,2,1,0,116696.77,0
